                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.94141,                0.51963,                0.94936,                0.99772,                      1,                  0.995,                0.74885,                0.89639,                0.48146,                0.97376,              0.0013796,              0.0013796,              0.0013796
                     97,                 0.8814,                0.48245,                0.98476,                0.99772,                      1,                  0.995,                0.74885,                0.89639,                0.48146,                0.97376,               0.001373,               0.001373,               0.001373
                     98,                0.86832,                0.48698,                0.97343,                0.99808,                      1,                  0.995,                0.76859,                0.86864,                0.46271,                0.96656,              0.0013664,              0.0013664,              0.0013664
                     99,                0.93174,                0.51624,                0.95919,                0.99808,                      1,                  0.995,                0.76859,                0.86864,                0.46271,                0.96656,              0.0013598,              0.0013598,              0.0013598
                    100,                0.99546,                0.53863,                 1.0391,                0.99811,                      1,                  0.995,                 0.7698,                 0.8325,                 0.4441,                0.95793,              0.0013532,              0.0013532,              0.0013532
                    101,                0.85825,                0.47948,                0.96376,                0.99811,                      1,                  0.995,                 0.7698,                 0.8325,                 0.4441,                0.95793,              0.0013466,              0.0013466,              0.0013466
                    102,                0.88066,                0.49143,                0.93931,                0.99796,                      1,                  0.995,                0.77985,                0.81899,                0.42485,                0.95424,                0.00134,                0.00134,                0.00134
                    103,                0.94164,                0.52177,                0.98352,                0.99796,                      1,                  0.995,                0.77985,                0.81899,                0.42485,                0.95424,              0.0013334,              0.0013334,              0.0013334
                    104,                0.87382,                0.47039,                 0.9622,                0.99804,                      1,                  0.995,                0.79443,                0.79834,                0.41288,                0.94694,              0.0013268,              0.0013268,              0.0013268
                    105,                0.88049,                0.48239,                0.96063,                0.99804,                      1,                  0.995,                0.79443,                0.79834,                0.41288,                0.94694,              0.0013202,              0.0013202,              0.0013202
                    106,                0.94135,                 0.5244,                0.96808,                0.99786,                      1,                  0.995,                0.79332,                0.79611,                0.42602,                0.94165,              0.0013136,              0.0013136,              0.0013136
                    107,                0.89703,                0.46927,                0.96354,                0.99786,                      1,                  0.995,                0.79332,                0.79611,                0.42602,                0.94165,               0.001307,               0.001307,               0.001307
                    108,                0.87078,                0.47722,                0.99615,                 0.9977,                      1,                  0.995,                 0.8032,                0.80934,                0.42009,                0.93794,              0.0013004,              0.0013004,              0.0013004
                    109,                0.89792,                0.49676,                0.98478,                 0.9977,                      1,                  0.995,                 0.8032,                0.80934,                0.42009,                0.93794,              0.0012938,              0.0012938,              0.0012938
                    110,                0.86779,                0.50243,                0.97353,                0.99734,                      1,                  0.995,                0.81025,                0.81071,                 0.4088,                0.93441,              0.0012872,              0.0012872,              0.0012872
                    111,                0.78503,                0.46194,                0.94556,                0.99734,                      1,                  0.995,                0.81025,                0.81071,                 0.4088,                0.93441,              0.0012806,              0.0012806,              0.0012806
                    112,                0.82568,                0.48233,                0.93626,                0.99482,                      1,                  0.995,                0.81391,                0.79547,                0.40927,                0.92798,               0.001274,               0.001274,               0.001274
                    113,                0.82277,                0.50554,                0.96684,                0.99482,                      1,                  0.995,                0.81391,                0.79547,                0.40927,                0.92798,              0.0012674,              0.0012674,              0.0012674
                    114,                0.84455,                0.48604,                0.95294,                0.99513,                      1,                  0.995,                0.81094,                0.76935,                0.41364,                0.92321,              0.0012608,              0.0012608,              0.0012608
                    115,                0.89905,                0.50066,                0.97744,                0.99513,                      1,                  0.995,                0.81094,                0.76935,                0.41364,                0.92321,              0.0012542,              0.0012542,              0.0012542
                    116,                0.81984,                0.47393,                0.95669,                 0.9951,                      1,                  0.995,                0.81515,                0.75679,                0.40957,                0.92039,              0.0012476,              0.0012476,              0.0012476
                    117,                 0.8098,                  0.458,                 0.9509,                 0.9951,                      1,                  0.995,                0.81515,                0.75679,                0.40957,                0.92039,               0.001241,               0.001241,               0.001241
                    118,                0.89992,                0.49437,                0.92796,                 0.9978,                      1,                  0.995,                0.81108,                0.74309,                0.40695,                0.91577,              0.0012344,              0.0012344,              0.0012344
                    119,                0.82827,                0.50718,                0.96438,                 0.9978,                      1,                  0.995,                0.81108,                0.74309,                0.40695,                0.91577,              0.0012278,              0.0012278,              0.0012278
                    120,                0.90174,                0.46959,                0.95296,                0.99838,                      1,                  0.995,                0.81518,                0.73036,                0.39202,                0.91337,              0.0012212,              0.0012212,              0.0012212
                    121,                0.86042,                0.51101,                 0.9564,                0.99838,                      1,                  0.995,                0.81518,                0.73036,                0.39202,                0.91337,              0.0012146,              0.0012146,              0.0012146
                    122,                  0.808,                0.45802,                0.95532,                0.99863,                      1,                  0.995,                0.81097,                0.73125,                0.38086,                 0.9162,               0.001208,               0.001208,               0.001208
                    123,                0.80565,                0.43701,                0.92309,                0.99863,                      1,                  0.995,                0.81097,                0.73125,                0.38086,                 0.9162,              0.0012014,              0.0012014,              0.0012014
                    124,                0.80371,                0.45561,                0.92988,                0.99851,                      1,                  0.995,                0.81576,                0.73098,                0.38592,                0.91869,              0.0011948,              0.0011948,              0.0011948
                    125,                0.82473,                 0.4756,                0.96565,                0.99851,                      1,                  0.995,                0.81576,                0.73098,                0.38592,                0.91869,              0.0011882,              0.0011882,              0.0011882
                    126,                 0.8393,                0.48344,                0.95252,                0.99833,                      1,                  0.995,                0.82083,                0.71877,                0.38413,                0.91499,              0.0011816,              0.0011816,              0.0011816
                    127,                0.90143,                0.47523,                0.96344,                0.99833,                      1,                  0.995,                0.82083,                0.71877,                0.38413,                0.91499,               0.001175,               0.001175,               0.001175
                    128,                 0.7918,                0.44646,                 0.9531,                0.99827,                      1,                  0.995,                0.82604,                0.71094,                0.38894,                0.91137,              0.0011684,              0.0011684,              0.0011684
                    129,                0.77015,                0.44345,                0.94214,                0.99827,                      1,                  0.995,                0.82604,                0.71094,                0.38894,                0.91137,              0.0011618,              0.0011618,              0.0011618
                    130,                0.82443,                0.48539,                 0.9369,                 0.9985,                      1,                  0.995,                0.81439,                0.72683,                0.39102,                0.91089,              0.0011552,              0.0011552,              0.0011552
                    131,                0.80705,                0.47117,                0.95211,                 0.9985,                      1,                  0.995,                0.81439,                0.72683,                0.39102,                0.91089,              0.0011486,              0.0011486,              0.0011486
